Stock URL,Stock Name,Stock Index,Isin Code,Market/Segment,Sector,Ftse Indices
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0004125677.html?lang=en,Masi Agricola,MASI,IT0004125677,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005042467.html?lang=en,Massimo Zanetti Beverage,MZB,IT0005042467,STAR,Food & Beverage,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Food and Beverage"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005388449.html?lang=en,Matica Fintec,MFT,IT0005388449,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001063210.html?lang=en,Mediaset,MS,IT0001063210,MTA,Media,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia All-Share Consumer Services, FTSE Italia All-Share Media"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0000062957.html?lang=en,Mediobanca,MB,IT0000062957,MTA,Financial Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Financials, FTSE Italia All-Share Financial Services"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0006599905.html?lang=en,Merck,MRK,DE0006599905,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US5951121038.html?lang=en,Micron Technology,MU,US5951121038,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US5949181045.html?lang=en,Microsoft Corp,MSFT,US5949181045,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001447348.html?lang=en,Mittel,MIT,IT0001447348,MTA,Financial Services,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004965148.html?lang=en,Moncler,MONC,IT0004965148,MTA,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
